Wavelength,Intensity
490.443000,5331
490.296000,5090
490.150000,5091
490.003000,5064
489.857000,5170
489.711000,5214
489.564000,5324
489.418000,5188
489.272000,5188
489.125000,5481
488.979000,5414
488.832000,5437
488.686000,5282
488.540000,5150
488.393000,5364
488.247000,5436
488.100000,5396
487.954000,5286
487.808000,5586
487.661000,5365
487.515000,5356
487.368000,5502
487.222000,5400
487.076000,5415
486.929000,5346
486.783000,5173
486.637000,5345
486.490000,5239
486.344000,5230
486.197000,5379
486.051000,5495
485.905000,5455
485.758000,5271
485.612000,5205
485.465000,5240
485.319000,5332
485.173000,5370
485.026000,5356
484.880000,5450
484.734000,5398
484.587000,5372
484.441000,5496
484.294000,5346
484.148000,5405
484.002000,5497
483.855000,5518
483.709000,5324
483.562000,5303
483.416000,5341
483.270000,5321
483.123000,5338
482.977000,5193
482.830000,5230
482.684000,5242
482.538000,5233
482.391000,5182
482.245000,5287
482.099000,5296
481.952000,5252
481.806000,5440
481.659000,5358
481.513000,5347
481.367000,5442
481.220000,5364
481.074000,5232
480.927000,5229
480.781000,5141
480.635000,5332
480.488000,5521
480.342000,5385
480.195000,5331
480.049000,5252
479.903000,5328
479.756000,5512
479.610000,5462
479.464000,5033
479.317000,4994
479.171000,5138
479.024000,5270
478.878000,5304
478.732000,5286
478.585000,5500
478.439000,5457
478.292000,5163
478.146000,5108
478.000000,5327
477.853000,5384
477.707000,5391
477.561000,5571
477.414000,5483
477.268000,5486
477.121000,5504
476.975000,5250
476.829000,5235
476.682000,5182
476.536000,5204
476.389000,5137
476.243000,5146
476.097000,5197
475.950000,5208
475.804000,5185
475.657000,5301
475.511000,5296
475.365000,5385
475.218000,5436
475.072000,5407
474.926000,5162
474.779000,5283
474.633000,5268
474.486000,5249
474.340000,5318
474.194000,5194
474.047000,5351
473.901000,5359
473.754000,5252
473.608000,5363
473.462000,5447
473.315000,5406
473.169000,5382
473.022000,5435
472.876000,5276
472.730000,5155
472.583000,5104
472.437000,5294
472.291000,5513
472.144000,5557
471.998000,5289
471.851000,5082
471.705000,5202
471.559000,5366
471.412000,5244
471.266000,5230
471.119000,5469
470.973000,5412
470.827000,5394
470.680000,5391
470.534000,5486
470.388000,5244
470.241000,5283
470.095000,5573
469.948000,5491
469.802000,5128
469.656000,5076
469.509000,5242
469.363000,5307
469.216000,5189
469.070000,5173
468.924000,5133
468.777000,5166
468.631000,5295
468.484000,5294
468.338000,5172
468.192000,5328
468.045000,5325
467.899000,5323
467.753000,5391
467.606000,5444
467.460000,5294
467.313000,5210
467.167000,5190
467.021000,5306
466.874000,5355
466.728000,5339
466.581000,5433
466.435000,5393
466.289000,5294
466.142000,5172
465.996000,5344
465.849000,5324
465.703000,5322
465.557000,5307
465.410000,5420
465.264000,5439
465.118000,5332
464.971000,5201
